Общо в EUR,,,,49.34,50.66,1 015 047 408,1 042 334 569,1.95539,1.95612
EUR,1,1.95559,1.95600,47.50,48.50,977 284 666,997 822 719,1.95559,1.95600
CAD,1,1.33040,1.33068,0.99,1.00,29 922 320,30 310 644,1.95316,1.95358
HUF,1000,,5.40138,0.00,0.00,,25 067 096,,2.06333
USD,1,1.78952,1.80378,0.69,0.98,15 509 003,21 957 147,1.94610,1.96163
JPY,100,,1.23167,0.00,0.00,,10 620 400,,1.98163
RON,10,3.90278,3.93802,0.01,0.07,1 508 039,6 663 342,1.94249,1.96003
PLN,10,4.26763,4.52372,0.00,0.02,12 432,2 051 002,1.87733,1.98998
DKK,10,2.56491,2.63542,0.00,0.01,42 800,1 682 248,1.91267,1.96525
CZK,100,7.74639,8.17667,0.00,0.00,74 364,1 300 672,1.91599,2.02242
GBP,1,2.27590,2.30853,0.13,0.04,2 246 317,659 946,1.95212,1.98047
CHF,1,2.05527,2.08992,0.01,0.03,132 994,589 945,1.93832,1.97113
SEK,10,1.68331,1.74974,0.00,0.00,212 180,419 171,1.91291,1.98767
AUD,1,,1.19882,0.00,0.00,,45 685,,1.98753
TRY,100,5.75810,6.31451,0.00,0.00,2 810,37 367,1.88785,2.07002
NOK,10,1.67982,1.75539,0.00,0.00,305 689,3 190,1.92272,2.00922
